gene_name	baseMean	log2FoldChange	padj	N1_1	N1_2	WT_1	WT_2
Fbxo38	1010.86708896658	1.71937839679164	0.0474806319556274	1564.28253457832	2852.48036390365	392.187267404752	904.21050686656
Frrs1	101.770419829892	-1.1922342319441	0.0196510751679351	56.7769882672933	90.5880775253159	106.697490072314	98.8546038171827
Fxr1	2143.62103816887	1.14072037078891	0.0100675539798996	2754.34454323085	2810.452069817	1154.85524600485	1270.94110142906
Gabbr1	8775.27394073174	-4.80778734553861	0.00996873024208488	591.329869374691	608.457874535702	29624.431283301	3023.51956197465
Gapdhs	62.8081756125031	-1.04188509716653	0.0377735794004223	31.8398819373694	41.2872231668447	80.3815788026498	72.607977420762
Gdap10	74.6317254689789	-1.10610787247668	0.0253419557382783	32.8610538856425	40.8225871883171	74.0968211448957	81.6578189204855
Gm10045	28.7072927971195	1.4705025449591	0.0429544181941142	50.2043878808428	57.1516220636439	15.2253742078553	24.1949093097735
Gm10591	58.7700409293401	6.63003773349054	0.00167977177001179	62.9836866141482	38.1010813757626	0	2.01624244248112
Gm12191	109.460519891051	-1.69784900001645	0.00108634160388203	44.727545566569	35.3795755632081	131.953243134746	127.023273876311
Gm13301	366.885592723255	3.77429685380891	1.10593768421492e-09	443.624227456174	429.090749779422	45.6761226235658	19.1543032035707
Gm13304	111.906486123324	6.96663894000256	2.12273824627008e-08	125.054566175917	129.72511039843	1.01502494719035	2.01624244248112
Gm16867	107.579119772296	2.27558771808697	1.44229128682558e-05	351.405530710194	363.865157291048	40.2115281266908	81.4951751614738
Gm1821	158.034228831655	10.1182990133519	1.40820858656395e-05	127.792987333054	285.75811031822	0	0
Gm21075	250.920685640306	5.68052792671818	1.68180626035478e-23	263.801238137519	255.82154638012	6.09014968314211	5.04060610620281
Gm21119	30.5546890006649	-1.49173701537199	0.028741410292141	13.9977873573916	18.3771035326981	45.6275569781276	41.5221832145225
Gm21541	42.2213999092279	7.97484590392747	0.000137329923222415	25.5585974666109	68.9448139180466	0	0
Gm2427	124.841426627884	6.13823944450575	1.2608809723945e-11	306.70316959933	263.986063817784	9.13522452471317	0
Gm26944	309.407374132272	-1.14152167838821	0.00132944328592342	177.905274451855	219.021805392764	407.666978833073	451.840331226172
Gm27177	226.239966746161	2.1431849260239	7.29518314300138e-08	647.244044093953	598.858386552386	117.64298226674	164.356146248354
Gm29801	108.532056517585	4.66028566952733	1.48677043532656e-13	128.705794385433	127.91077319006	5.07512473595176	7.05684854868393
Gm29804	339.741122792645	6.15543629138476	7.60849449702336e-26	355.081943375415	366.496116090669	2.0300498943807	8.06496976992449
Gm30042	32.3599752398078	-2.03343632878667	0.0225222423593603	5.47684231427376	17.2362034795117	47.7061725179465	46.3735761770658
Gm30936	35.7609343468936	-2.97460038139522	7.9531887490161e-05	10.0408775761686	3.6286744167393	45.6761226235658	48.389818619547
Gm31159	111.8441876754	-1.73219772586625	0.000236881897982784	36.3885948592039	42.492489619521	138.440434643291	120.564739042328
Gm32643	79.0006976769131	-1.47433221614654	0.0019692579242804	37.552246372332	33.6792811709277	100.147204967014	93.4378049403535
Gm33449	203.949922636004	-1.50176178793493	0.00147255892724835	89.455091133138	136.982459231908	245.636037220065	394.17539750506
Gm35266	37.5696723876368	-1.54201244201472	0.00890837453516547	17.3433339952002	22.6792151046206	59.8864718842308	52.4223035045092
Gm35365	45.488801178889	-2.31816990532114	0.000500200383077248	12.7792987333054	18.1433720836965	79.1719458808475	72.5847279293205
Gm38592	46.4146185087104	-1.62510911242772	0.00775036525682186	21.907369257095	15.421866271142	64.9615966201825	47.3816973983064
Gm3893	110.637672479389	1.72377247740176	0.00129000270896558	100.408775761686	114.303244127288	33.4958232572816	31.2517578584574
Gm39326	23.3230470681703	-1.98871142558271	0.00637421826288608	8.34184858391509	7.5994605761389	57.9971769822046	59.0496790764164
Gm39972	248.382725301421	-1.43323657631294	0.0490991007569407	102.699662887111	137.142542463509	347.618357368656	322.972697822598
Gm40518	33.7133768385313	-9.21592190486654	2.22122166659629e-06	0	0	69.8320161393577	145.595247152837
Gm41553	98.2587398470968	-1.43283207120948	2.26286160959914e-05	47.4659667237059	48.0799360217957	140.073442712269	117.950182885146
Gm42127	226.504669942938	-1.00484186908787	0.049544583696508	139.659479013981	91.6240290226673	204.020014385261	261.103396301306
Gm42256	140.503929528892	-9.16221054257258	4.56478549090747e-06	0	0	36.5408980988527	155.250668071047
Gm42368	210.164903206502	2.12899820270051	1.6316933616382e-08	603.528528488454	366.481968269813	113.678405597326	108.872888920132
Gm42372	160.234972057986	-24.9462064693797	2.64499322825431e-05	0	0	1025.17519666226	0
Gm42386	26.3120660027031	3.56608773717742	0.0440459721185712	15.8248935147382	41.0796420555458	7.70120231723914	0
Gm5067	42.7231184262996	-1.31878282813563	0.0488433628459625	31.9482468332636	28.1222267297296	57.8564219898501	91.7390311328911
Gm5617	108.421356559078	1.1869962094456	0.000101539793475557	164.305269428213	171.454866190932	81.2019957752282	67.5441218231176
Gm6568	23.3009839206372	-3.12754795643665	0.0129314503830528	8.21526347141064	0	31.4657733629009	34.2761215221791
Gm7120	468.271146056302	1.06464506868149	0.0160125899425596	879.256898847016	558.746112217958	304.891204807327	382.964343650352
