gene_name	baseMean	log2FoldChange	padj	N12_1	N12_2	WT_1	WT_2
Gm21075	250.920685640306	5.99487135661481	7.6533340158245e-26	333.641738556558	313.920770471983	6.09014968314211	5.04060610620281
Gm21541	42.2213999092279	7.9781796267364	0.00033033328598388	26.3957071642847	68.4186294618424	0	0
Gm2163	81.4352503938251	1.25698132211284	0.0382404290961876	97.1362023645676	103.634100508379	45.6761226235658	39.3167276283819
Gm21811	71.8354277678419	-23.1314988848236	0.000370402919696036	0	0	315.6727585762	0
Gm2427	124.841426627884	5.67867192139545	1.85063418662692e-09	276.627011081703	140.861884186146	9.13522452471317	0
Gm27177	226.239966746161	-1.5352466764911	0.00580499258893589	64.4374627694276	34.2262783803641	117.64298226674	164.356146248354
Gm29801	108.532056517585	4.6755153958326	3.58092596091831e-13	128.811050961709	129.794164714377	5.07512473595176	7.05684854868393
Gm29804	339.741122792645	6.42810519357717	7.85259499831935e-28	447.671193506268	424.597965189669	2.0300498943807	8.06496976992449
Gm30119	7.98702360283666	-6.22328368715799	0.0214477338620677	0	0	13.1953243134746	16.129939539849
Gm30783	9.39267694173349	-7.60619543509144	0.00292456206681142	0	0	37.3993268143032	38.7918346545791
Gm34720	37.5334151376074	-1.84675248638455	0.00893724535920187	15.8374242985708	12.0738757873839	50.7512473595176	49.3979398407875
Gm38609	36.2422933008159	-1.71795016211086	0.0468430492067274	12.6699394388566	16.0985010498453	35.5258731516623	54.4385459469903
Gm3883	334.132212344694	1.10969797163893	0.0174248831108223	412.828860049412	407.493307824208	208.080114174022	172.388728832136
Gm3893	110.637672479389	1.99763622065241	0.000184518763910586	130.922707534852	127.781852083147	33.4958232572816	31.2517578584574
Gm40518	33.7133768385313	-9.03726164325794	9.38875723487595e-06	0	0	69.8320161393577	145.595247152837
Gpatch1	835.084810477606	-1.35328666545379	0.0146824207373793	615.547891071119	327.000802574982	1187.57918821271	1217.8104352586
Guf1	167.021972674951	7.00618969053815	1.18580729580672e-11	157.034311250899	235.943787510478	0	3.87235260567732
Hirip3	457.394738853961	2.18523346972214	2.21936791248157e-06	647.092688074879	406.033282713857	124.114672477132	172.090503354388
Hmg20a	2427.64052737281	-5.85596399523999	4.5141724467913e-38	168.688731698688	66.5183527298611	4891.37129601895	3367.41539936012
Hmga1-rs1	393.606297393918	2.67505957729485	5.33484162778839e-05	505.741749267695	611.74303989412	41.6160228348044	135.088243646235
Htr3a	454.17111904196	-1.2541055742617	9.77042162547226e-06	264.135470160951	300.673593932807	587.207376956889	755.753879153383
Iglon5	1002.49875602073	-1.03275252674792	0.000106527110443842	657.887322325086	827.857666178463	1551.7543587142	1388.15746937906
Irf2bp2	1510.18517701173	1.61531446886868	0.00184606913680651	2263.69584640905	2098.84207437358	796.794583544426	627.051399611629
Itgb8	273.406031921408	-1.02112970129732	5.33484162778839e-05	187.937435009707	152.93575997353	344.093457097529	346.793700106753
LOC101056144	48.4852668772705	3.75521658213525	9.01384415258468e-06	57.0147274748549	52.3201284119971	4.06009978876141	5.04060610620281
LOC105247125	12.5884743320417	2.58208686666364	0.0433826396448004	26.129988540575	34.8609661855175	6.02884175220022	5.98783638443359
LOC108168331	17.1737330679934	-6.3711838916607	0.0107641313815317	0	0	19.2854739966167	14.1136970973679
LOC108168950	276.224255029008	1.58499870210052	1.64297611586799e-07	343.144193135701	337.062365731135	115.7128439797	111.901455557702
LOC108169010	109.857913614671	1.74813525045276	6.66566609248208e-07	130.034799518856	162.385652650587	39.8335679993201	45.1310474852625
LOC108169011	133.37574024507	1.34220839542042	0.000193809089944284	174.211667284279	157.966541551607	68.0066714617536	63.5116369381554
Lacc1	111.708993128627	-10.3017666031421	1.85063418662692e-09	0	0	202.226495924377	250.958682863811
Layn	252.596447114146	-1.69289173912629	4.34290087290856e-13	142.706199918304	129.250589550976	410.735824663432	391.517682215987
Mab21l1	62.3355486146123	1.88145231900179	0.0460642103580631	97.1362023645676	160.985010498453	29.4357234685202	41.332970070863
Madd	1156.96157995973	-2.64749031389029	0.000317318881026772	156.105475383345	125.853492059684	1404.83312605221	542.76004092452
Meis3	661.021260120282	1.1216134617694	1.18580729580672e-11	784.941870160162	896.877769938642	399.72772812706	389.550250335347
Mfrp	63.8121588007595	23.3538693451956	0.000309713178616452	0	514.145877279433	0	0
Mir686	81.4823753998866	7.18217859657666	0.0155683656436317	1.05582828657139	292.791487844061	1.01502494719035	1.00812122124056
Mroh7	110.254615156627	3.37547301122811	0.0124228045400151	170.179779474951	184.802458978021	32.631240170652	6.05562539621416
Myc	136.413840104941	-1.31605313698953	0.00530021335207017	85.5386985925162	100.630737420521	252.749342284663	212.685061943196
Ndufs7	2040.30944711769	1.76733030285535	1.69506305915521e-51	2259.86211511573	2330.63629329316	673.055650539163	675.735268575012
Neil1	131.775832021397	-2.07712681361619	6.55973490813241e-12	38.6502269046942	65.898591622245	209.152586356054	211.574890623524
Neil2	36.4556895518186	-8.55569294156159	5.52990590300817e-06	0	0	57.342622058622	76.1897463161869
Neurog2	54.8028918045584	-1.61581136521682	0.0152701088080807	22.1723940179991	35.2154710465365	102.517519666226	71.5766067080799
Nsun3	113.133956512414	-1.92151952555642	0.0385730444189779	84.852908859857	73.7347906992674	203.62909142355	128.384521119472
Pced1b	306.617371948772	1.565928003952	0.0208178161530045	256.043005805048	492.513586003311	91.2734037311508	150.275959913431
Pcyox1	4649.36898870717	1.84157331554764	4.70301108550916e-78	8004.96314227447	7111.88410150821	2163.69707788494	2186.68329398066
Pex2	550.592027431133	1.37990258071938	0.000339708351600927	605.694901539856	698.044534705441	198.549714404703	301.928669937558
Pfdn6	882.782417114702	-1.90661241675027	0.00373354445115156	218.047925535902	385.404024399479	1072.53424350205	1133.00520048143
Piwil2	32.6808733359057	-2.375029120703	0.00403163682166401	10.5508244972102	13.0707923714345	77.0874029695002	41.3037724706414
Polb	1117.57623003907	-1.07335939676511	0.00239498318389459	774.399038798718	712.375811081871	1840.01565502946	1272.69063919114
Ppan	267.29811363035	-1.82479292030775	0.0124228045400151	97.1362023645676	84.5171305116876	346.12350699191	294.371396602244
Ppp6r1	6051.7891044862	-1.02301271712815	0.0213704969599487	3652.9524170541	3898.58451329445	8444.83985776917	6993.68975847235
Prrc2a	9691.2236647839	-3.1277357022978	1.4312988416771e-14	3472.22833287625	2107.8937055414	18965.0604629192	29610.562542159
Rabep1	2451.7037562698	-1.25939319397805	1.94998247465291e-07	1783.17493173243	1373.69803029218	3486.70596583245	4295.98466958635
Rnf214	4557.58590107454	-2.70349369979895	1.94386910194968e-64	1246.79800828563	1520.68367898794	7180.58685285552	7272.89612327994
Rsrp1	1808.84509782468	1.28251001427286	2.12404665908039e-08	3132.64252625731	3130.15229787929	1403.77950196426	1170.42873786029
Sc5d	1467.96695941772	-2.7356132481909	1.31825256149598e-05	277.327066261921	301.590203719827	1059.11945540184	2787.10963346382
Scrib	1063.55741819191	-3.44604797977658	6.52489640512212e-06	172.43724650477	115.640382829582	1917.87031408886	1209.20797238198
Sh3bgrl3	2836.81886108584	-1.36195506924248	7.41723568989405e-05	1469.71297490737	2200.46386225072	4792.94780063284	4635.3413752641
Slc39a1	992.599298713565	1.87230522987966	0.024479101094467	1294.92930460441	1583.86652292132	337.854068728925	446.400514614148
Slc39a10	5796.2186792073	-1.5768145774833	9.50463123640119e-12	3128.58055075574	3292.95787891047	9336.21668795593	10169.7106803476
Snhg17	70.3936699101868	3.63153741445557	0.0032648953322434	154.461963370728	39.8922911988253	4.17994707834344	11.7234492278835
Sod2	4579.43211053688	4.48221819743135	1.01448944972298e-14	9078.01160794079	8733.43681954106	616.120142944544	180.453698602061
Sparc	6596.55701846193	1.71895600615259	0.0399761362650797	5797.22007380115	2586.75690161186	1719.04841258739	826.938442980799
Sspo	74.4960087812807	-1.39447735985368	0.0174429760173865	40.0071044855176	49.946926322116	137.666661726934	102.286808512914
Stbd1	113.983807814999	1.90628319969181	2.4412726952439e-06	250.231303917419	319.957708365675	91.3522452471317	62.5035157169148
Stox2	4074.46419515249	-2.52358091246716	0.00150146061659825	1544.46106700463	469.991498670632	7082.34908377013	4770.34234898851
Supt6	5518.60465808728	1.81068796078054	3.22103458989148e-08	8218.17741040303	12943.522123265	2822.07294833345	3194.05417696847
Tlk1	1802.81004879361	-2.15010966848326	0.00137785431246385	786.979560942433	649.973450053275	3141.34849351218	2487.07173262014
Tmem150b	486.084145185809	-1.35160646640107	0.0181999284521057	248.065192361081	386.549010368526	831.916978463696	781.549423564469
Tmem72	155.501182473619	5.09187943891328	0.0374858474581162	14.2736943245378	1440.67369584532	26.4640034159895	7.78785410852049
Tnfaip8	222.544930046426	1.17595860804299	0.0454135179281612	213.322232374131	366.54144280048	175.695647465209	156.846616825585
Tnrc18	4912.69515556116	-2.07767400252257	3.22545135817069e-07	1885.3506343485	1554.8732246895	6306.64919618526	7536.39068556898
Trmt6	744.261031188212	1.98451016719364	3.24391009556096e-05	1134.47850555596	1255.24995424279	202.025826935632	401.595889380681
Tssc4	493.721305403669	-1.25748982822762	6.55973490813241e-12	306.660337788186	346.602953366605	602.467967896041	512.415095250113
Ugt1a6a	124.763952107267	-1.65885673161232	0.000734529858499092	41.1773031762841	30.1846894684599	117.742893874081	104.844607009018
Vwa3b	246.320320645463	-3.35378828202505	0.000692847468510696	45.659787330703	48.0993605155606	603.432028808148	329.418159653088
Wnt7b	918.33487782061	-1.33736764220338	0.00170733237948913	368.796874306825	278.594536178318	755.192527022337	878.029095401575
Zbtb16	3384.59532874999	-2.03058467520323	1.25393183807204e-18	1374.47048920319	960.97438902783	3893.71243904735	4993.94965343245
